Vehicle_ID,Vehicle_Type,Speed_km_h,Position_X,Position_Y,Vehicle_Priority,Communication_Mode,Slice_ID,Slice_Type,Requested_Bandwidth_Mbps,Allocated_Bandwidth_Mbps,Latency_ms,Energy_Consumption_W,AI_Optimization_Score,Vehicle_Mobility_Index,Congestion_Level,Signal_Strength_dBm,Traffic_Density,Weather_Condition,Throughput_Mbps,AI_Decision_Time_ms,Network_Stability_Index,Packet_Loss_Rate_%,Throughput_Efficiency,Time_Stamp,Time_of_Day
1,Truck,47.23626243329305,499.6702437290534,92.37083927589663,Emergency,V2V,9,eMBB,44.99649230438863,35.56960831121876,45.219614675508346,32.958527057895566,0.7599522700623551,0.32883305278205743,1,-76.01600427512477,34,Clear,9.069143143904608,11.949488824027853,0.6990704673826547,3.484607803332835,0.8527130522930138,2023-01-01 00:00:00,Night
2,Motorcycle,56.81227912500257,746.7467725125942,60.75372958802006,High,V2V,4,mMTC,55.00214397002488,25.430125717852246,33.58529251950873,13.44617513262206,0.5659463939351016,0.8128292975731557,1,-102.32768347579272,37,Snow,14.890121508326274,10.687126095060885,0.7083742579496164,3.6462484197324567,0.5917435282356023,2023-01-01 00:01:00,Evening
3,Sedan,102.54568718426164,562.6667806563331,604.191950743664,Low,V2V,6,eMBB,65.12128031340109,63.51967349293849,35.46101894730816,34.02442308979627,0.8644469364305957,0.16520762554990523,5,-62.900166735978175,44,Rain,49.07769600013027,5.177910824604258,0.5976867303261507,0.6876143413320834,0.9834828920337939,2023-01-01 00:02:00,Night
4,Truck,40.80052632718706,83.3025831117964,966.1163224927548,Medium,V2V,8,URLLC,16.388273884185523,94.77732490014274,39.830874874672254,44.74982612083071,0.5476476644728635,0.3193115864665599,5,-116.36842681018014,62,Rain,62.28768423512111,9.185951967223158,0.8568110548608229,3.4853371594809226,0.8564668790472303,2023-01-01 00:03:00,Morning
5,Truck,104.35796217746056,185.5802367835554,502.721308954724,Low,V2V,2,URLLC,63.74474526582608,70.65575752360174,45.501981523156,8.472510109637115,0.5950898121077497,0.5039514585902793,2,-89.99370742744165,82,Snow,90.61637460086696,9.29264471124303,0.9340577418678229,4.472636728603126,0.6903397318538156,2023-01-01 00:04:00,Evening
6,Motorcycle,10.57613171720298,219.32818403091915,51.51522593930513,Medium,V2V,1,URLLC,61.96755167437456,76.60601671642691,7.11539516929483,16.65386991291661,0.9380059715315974,0.88606029892183,9,-110.20895486423888,95,Fog,73.1442258795927,10.563689001247637,0.6579504672372001,2.3856309874990207,0.5951299284353195,2023-01-01 00:05:00,Evening
7,Sedan,93.21581246503568,257.8642536448449,221.21865607745616,Emergency,V2V,7,URLLC,88.61450274276173,61.6871506478749,29.920267180170814,35.307258084391506,0.7667866173866726,0.26663851167761543,4,-64.55684596785079,40,Snow,65.87085382611679,11.423152326311868,0.8992370220159177,4.448735509254495,0.537865972659264,2023-01-01 00:06:00,Evening
8,Sedan,101.70571596656836,565.4033919505042,244.79290641577066,Medium,V2V,1,URLLC,41.8297485688131,38.13651107068782,44.596873082538046,37.004669684132274,0.9945846848673844,0.7338954701340815,4,-118.03911425304949,76,Snow,85.37363154362781,12.043809137436776,0.9401431272847025,1.7530412363529209,0.5156751820289766,2023-01-01 00:07:00,Night
9,Truck,21.818118340480652,503.9657798253935,337.85712913695,Low,V2V,4,URLLC,31.79698102070163,63.91798572998993,39.01856364978065,31.40584681263669,0.5762484348096177,0.3742895126754142,4,-75.97194605900094,8,Fog,83.65513107293994,3.051003031561178,0.6707562707004711,3.4990736128092395,0.5364949684372171,2023-01-01 00:08:00,Evening
10,SUV,51.64158388466405,203.16003836420893,43.60338358621263,High,V2V,5,eMBB,52.88630736455307,16.569520811856133,13.198150263646186,11.259297709452282,0.5387250017200427,0.10741057073014658,1,-68.26114057399211,23,Fog,60.57090187364981,5.614482823790978,0.5777850780637539,2.4439956465335584,0.9417142326519505,2023-01-01 00:09:00,Evening
11,Truck,19.859972959638675,67.55484345568708,904.8927004979163,Low,V2X,2,URLLC,71.85984845821739,48.99362359325941,43.855711199657826,15.91854046735287,0.5379356854886117,0.7257399442421661,1,-103.3443717506516,96,Rain,17.229763299934305,7.552018024654796,0.9124076613647738,3.755273425751426,0.8837364391534419,2023-01-01 00:10:00,Afternoon
12,Truck,84.79249547930613,171.43220447471808,515.5639447214952,High,V2V,4,eMBB,60.57048135786102,56.5752407750071,15.41107060100495,45.83075372005229,0.9676710337153309,0.4918800160377589,1,-76.2501609999598,86,Clear,62.82714053561908,9.249663621160831,0.5950821559999783,0.8999636451746705,0.5623222657403939,2023-01-01 00:11:00,Afternoon
13,Truck,64.24173216739881,984.3813126186033,670.930792954109,High,V2I,7,eMBB,22.438600478470256,86.60749883148107,21.133432307307423,41.86540244974868,0.8216066440707053,0.4839278632433649,5,-114.75562444097423,41,Fog,55.24539474043173,15.031644954095981,0.6918219454966125,4.363788521981524,0.9288812091151417,2023-01-01 00:12:00,Evening
14,Truck,76.23880160499853,468.5469497914723,67.17283689500897,High,V2X,4,mMTC,41.31024668009717,87.77473979704673,10.09637274699492,47.751024159484594,0.6685321584452351,0.6389269311476137,1,-110.43348100854537,97,Rain,33.844136746606026,9.23188636267886,0.6967807340435785,1.9248644274707807,0.7270603773829658,2023-01-01 00:13:00,Evening
