Vehicle_ID,Vehicle_Type,Speed (km/h),Position_X,Position_Y,Vehicle_Priority,Communication_Mode,Slice_ID,Slice_Type,Requested_Bandwidth (Mbps),Allocated_Bandwidth (Mbps),Scheduling_Algorithm,Latency (ms),Energy_Consumption (W),AI_Optimization_Score,Vehicle_Mobility_Index,Congestion_Level,Signal_Strength (dBm),Traffic_Density,Weather_Condition,Throughput (Mbps),AI_Decision_Time (ms),Network_Stability_Index,Packet_Loss_Rate (%),Throughput_Efficiency,Time_Stamp,Time_of_Day
V001,Motorcycle,87,143,297,1,V2X,Slice2,mMTC,211,177,Simulated Annealing,78,37,0.7370249475098924,0.7728493165652939,3,-79,3,Fog,95,13,6.417682354714506,0.14911946447962066,0.745413541336191,2025-01-25 05:11:00,Night
V002,Motorcycle,114,588,393,0,V2I,Slice3,eMBB,185,240,Genetic Algorithm,35,37,0.8864527377745977,0.40863138219105016,2,-77,10,Snow,147,42,9.274032326619038,2.5434634245054926,0.9978426090743344,2025-01-25 20:05:10,Morning
V003,SUV,47,818,773,0,V2V,Slice3,mMTC,273,56,Reinforcement Learning,83,38,0.9018931753892654,0.5508266971441671,3,-89,64,Clear,136,41,8.332987150571295,4.294151464831038,0.7613226196316333,2025-01-25 22:10:42,Evening
V004,Motorcycle,93,148,80,1,V2I,Slice1,URLLC,254,30,Simulated Annealing,25,43,0.9671485683418697,0.45363395738600387,7,-72,48,Snow,70,25,9.999036111649907,4.6355232572974945,0.782122718715308,2025-01-25 05:53:19,Night
V005,Motorcycle,91,879,838,0,V2V,Slice2,eMBB,195,202,Reinforcement Learning,51,26,0.765029165296281,0.4394093689973773,8,-64,90,Snow,97,33,7.357831255634073,4.21734188244172,0.8585548123556277,2025-01-25 16:58:36,Evening
V006,Sedan,115,401,972,0,V2X,Slice3,eMBB,53,209,Genetic Algorithm,79,23,0.9457939990843055,0.6823766779506122,9,-68,35,Clear,109,35,9.496455986585726,3.818583083153318,0.7079508073996668,2025-01-25 08:22:39,Evening
V007,Motorcycle,53,653,171,0,V2I,Slice2,eMBB,195,42,Simulated Annealing,95,49,0.8032034953162539,0.9862058480675073,1,-89,57,Snow,132,41,9.440307489616366,0.7925908910791751,0.9478842272270257,2025-01-25 22:15:33,Morning
V008,SUV,37,274,858,1,V2X,Slice3,mMTC,297,92,Simulated Annealing,10,25,0.816400742493581,0.6363265663675883,10,-90,13,Fog,107,21,9.933376879708927,2.9865874024996977,0.835594626686311,2025-01-25 06:47:59,Evening
V009,Motorcycle,52,839,194,1,V2V,Slice3,URLLC,160,190,Reinforcement Learning,65,30,0.9895373629704475,0.9804664888650085,10,-75,86,Clear,137,23,9.936720200582815,0.610424901712589,0.8053208092998702,2025-01-25 13:24:48,Morning
V010,Sedan,74,221,941,0,V2V,Slice2,URLLC,255,92,Genetic Algorithm,27,36,0.8524487032903159,0.9345646407048175,2,-88,89,Clear,93,28,9.967388608513119,0.4037233837505294,0.832007025384646,2025-01-25 18:02:46,Afternoon
V011,Truck,101,117,132,0,V2V,Slice1,eMBB,288,200,Reinforcement Learning,90,23,0.9609998253716275,0.5055140274425844,5,-62,78,Snow,121,27,9.656124516235153,0.05507820451587375,0.9907619444800664,2025-01-25 15:48:33,Night
V012,Truck,49,651,583,0,V2I,Slice3,mMTC,97,181,Reinforcement Learning,27,11,0.9095910874668849,0.9301026523783319,7,-86,62,Snow,63,43,7.0436406278106025,1.1239425697452,0.847755896777321,2025-01-25 06:47:07,Night
V013,Truck,22,458,885,1,V2V,Slice2,mMTC,57,104,Genetic Algorithm,28,16,0.8257063145237578,0.5544940931641458,1,-84,2,Snow,85,41,7.765741951110808,3.7125368672063703,0.925868916757225,2025-01-25 09:58:55,Night
V014,SUV,41,580,375,1,V2V,Slice1,URLLC,68,226,Reinforcement Learning,82,28,0.7129605992296134,0.4315032764028752,7,-71,30,Rain,61,42,9.881943529145108,2.4010955848530156,0.7045572588892017,2025-01-25 09:11:18,Afternoon
V015,SUV,35,91,91,0,V2V,Slice2,eMBB,167,157,Simulated Annealing,23,31,0.8478085778368898,0.4720390134911808,1,-83,87,Clear,105,17,7.595075662047486,0.8284002113653754,0.9266571247412103,2025-01-25 08:44:18,Afternoon
V016,SUV,28,959,112,0,V2I,Slice2,mMTC,201,156,Reinforcement Learning,67,27,0.8123389891619381,0.7098659670712821,1,-90,49,Fog,128,46,9.673143520892978,1.2409676630761672,0.7284494063823874,2025-01-25 01:07:22,Morning
V017,SUV,116,306,458,1,V2V,Slice2,mMTC,176,141,Genetic Algorithm,48,38,0.8573940933123395,0.7742535450556908,3,-89,54,Snow,117,34,9.02614549244527,1.3330345985103331,0.9381017798329707,2025-01-25 21:49:07,Afternoon
V018,Motorcycle,99,165,695,1,V2V,Slice2,mMTC,98,91,Genetic Algorithm,82,33,0.919327179326063,0.41500160289620913,8,-61,96,Rain,146,42,9.464409782512778,4.112723507472857,0.975516955183745,2025-01-25 10:01:42,Night
V019,Motorcycle,111,968,450,1,V2X,Slice3,mMTC,169,112,Simulated Annealing,80,17,0.861153645424638,0.8221284450294264,1,-73,62,Fog,142,13,9.029457772201106,1.39681453776617,0.7701904768220837,2025-01-25 17:54:14,Afternoon
V020,Motorcycle,58,417,471,1,V2X,Slice1,eMBB,193,218,Simulated Annealing,26,44,0.9013426282653015,0.4442943191700603,6,-84,58,Fog,122,20,7.526925990598398,1.0594661157565972,0.7831535506072541,2025-01-25 01:33:45,Evening
V021,Motorcycle,102,836,8,0,V2I,Slice2,URLLC,278,222,Reinforcement Learning,13,44,0.9098368987976159,0.7901118935703284,9,-74,26,Rain,128,20,7.090979998655881,2.1209330774931345,0.9424172596922549,2025-01-25 13:05:07,Morning
V022,Truck,119,330,974,0,V2X,Slice3,eMBB,103,172,Reinforcement Learning,77,45,0.9338340494928987,0.4358395402571072,10,-79,24,Snow,139,30,8.813053243222619,4.420973662813562,0.9354140278527455,2025-01-25 07:31:58,Night
V023,Truck,82,23,412,0,V2I,Slice3,URLLC,114,112,Simulated Annealing,63,47,0.8949292075260692,0.579548729487249,9,-81,79,Snow,104,30,6.350092680079767,3.733834987286169,0.9379017565390415,2025-01-25 13:06:13,Night
V024,SUV,52,725,242,0,V2V,Slice1,eMBB,94,161,Simulated Annealing,98,19,0.9642158840012616,0.9303908774373897,5,-83,5,Clear,118,23,6.738691466144443,3.3455810224075346,0.9424044423545679,2025-01-25 06:21:59,Morning
V025,Truck,34,180,915,1,V2V,Slice2,URLLC,64,246,Reinforcement Learning,48,41,0.789999220938264,0.9760745850483544,3,-82,9,Clear,128,22,6.119578799953023,4.596467160816805,0.803588572521619,2025-01-25 06:23:25,Afternoon
V026,SUV,44,911,179,0,V2I,Slice2,mMTC,58,75,Reinforcement Learning,22,45,0.9507324715267427,0.43140637227194356,3,-69,25,Rain,89,43,7.134649856714987,3.985729187385502,0.9851058279561349,2025-01-25 01:11:06,Night
V027,SUV,50,167,314,1,V2X,Slice1,mMTC,219,165,Reinforcement Learning,60,39,0.8895062997140014,0.8939378777180758,5,-72,5,Snow,49,42,7.249333561234102,1.6823635904981433,0.9695339812075672,2025-01-25 01:18:02,Evening
V028,Truck,79,705,33,0,V2I,Slice1,eMBB,131,74,Simulated Annealing,87,24,0.8839943908236136,0.7604324785336056,7,-67,20,Rain,121,26,9.573636705815131,0.2753581297291363,0.7383150608989453,2025-01-25 14:38:58,Night
V029,Truck,63,212,824,0,V2I,Slice3,URLLC,53,142,Simulated Annealing,47,25,0.7559123780313846,0.9606713907474513,5,-72,21,Clear,112,17,9.045870623119427,0.4819647000024674,0.7126610698036202,2025-01-25 06:30:54,Evening
V030,Motorcycle,69,448,587,1,V2X,Slice3,URLLC,219,55,Reinforcement Learning,73,47,0.9532185214546911,0.6327514305609208,4,-66,46,Clear,105,34,8.743818582233864,1.9055169147491098,0.975394594826813,2025-01-25 03:32:19,Morning
V031,Sedan,35,601,40,1,V2X,Slice1,eMBB,231,129,Reinforcement Learning,63,32,0.8804739025697903,0.8113010973616532,1,-78,72,Clear,62,26,9.187839402071695,1.7779180375458636,0.7644420292963438,2025-01-25 20:02:12,Evening
V032,Sedan,92,584,380,1,V2I,Slice1,mMTC,235,47,Genetic Algorithm,36,24,0.7542507689205995,0.4507473533331808,6,-86,39,Fog,111,35,8.551982859471632,4.213185593850379,0.9223382092047521,2025-01-25 07:16:32,Morning
V033,Truck,89,935,762,1,V2I,Slice3,eMBB,295,57,Reinforcement Learning,63,15,0.7149334052169211,0.5817262338390619,3,-81,46,Snow,88,14,7.048545150293631,4.9090247942194845,0.8986773082866839,2025-01-25 14:03:42,Evening
V034,Motorcycle,69,947,474,0,V2V,Slice2,URLLC,298,226,Simulated Annealing,63,16,0.8459683119347493,0.6786914774094395,7,-71,82,Rain,45,30,9.828769071970695,4.788247918921593,0.9174719454450567,2025-01-25 12:25:06,Night
V035,Sedan,49,509,233,1,V2I,Slice1,mMTC,177,129,Simulated Annealing,84,24,0.7847896700656962,0.6595126298027596,6,-84,37,Snow,60,25,6.544236156998727,3.2870466004576193,0.8853421871141636,2025-01-25 07:25:31,Afternoon
V036,Sedan,59,816,246,1,V2I,Slice1,mMTC,246,208,Genetic Algorithm,80,33,0.7889993917520588,0.865334181996585,5,-73,27,Snow,46,27,6.427350193285692,2.0219820115081473,0.7859005375763495,2025-01-25 21:48:47,Afternoon
V037,Truck,61,812,557,0,V2X,Slice2,mMTC,184,57,Reinforcement Learning,37,12,0.723121498096381,0.4584309099403302,8,-85,76,Rain,65,13,6.956534848937393,1.8525106615842564,0.8782074677971062,2025-01-25 18:38:23,Evening
V038,Truck,96,364,506,1,V2I,Slice2,eMBB,99,110,Simulated Annealing,89,23,0.7670619623488023,0.4356463233044632,9,-74,51,Rain,76,20,9.42537418845576,0.12107094317073241,0.8595806818569215,2025-01-25 08:26:21,Night
V039,SUV,20,113,574,1,V2V,Slice2,URLLC,243,107,Reinforcement Learning,40,30,0.9902130957080544,0.45041358151053046,10,-84,86,Clear,146,21,7.771789291804318,4.346386244137945,0.7918938021719164,2025-01-25 15:07:38,Evening
V040,Truck,83,127,825,0,V2I,Slice2,mMTC,244,214,Genetic Algorithm,70,18,0.8679459038993622,0.40174497378990626,6,-67,92,Fog,99,34,7.5848802579339605,4.51099585982717,0.8044221681087041,2025-01-25 16:27:51,Morning
V041,SUV,61,403,727,1,V2X,Slice1,mMTC,178,58,Reinforcement Learning,95,21,0.8605391411497079,0.5767543941898577,6,-83,11,Snow,43,47,7.134002038116269,1.0211542460665257,0.8941526423311431,2025-01-25 23:21:45,Evening
V042,Truck,96,454,946,1,V2V,Slice3,mMTC,195,157,Simulated Annealing,65,33,0.8517184692903859,0.9506358430781648,8,-78,23,Clear,121,35,9.83898125711176,1.7595796987005659,0.9507281991616676,2025-01-25 20:18:53,Afternoon
V043,Truck,54,414,49,0,V2I,Slice2,mMTC,184,82,Simulated Annealing,18,29,0.9306670335876075,0.8175867671257491,4,-71,23,Clear,113,42,9.084840431503338,3.0954273828127024,0.8782927314058878,2025-01-25 06:06:30,Afternoon
V044,Motorcycle,116,934,764,0,V2V,Slice3,URLLC,287,108,Reinforcement Learning,46,44,0.902801168456329,0.6017101408431208,8,-63,68,Snow,136,41,6.661967197452934,1.4722927816168774,0.8312865820001819,2025-01-25 04:50:29,Afternoon
V045,Motorcycle,65,776,525,0,V2X,Slice2,URLLC,295,224,Reinforcement Learning,94,44,0.7575111153003347,0.5233316321958345,3,-81,8,Rain,62,36,7.393604027849282,1.7683952903245652,0.7367666123984252,2025-01-25 04:09:15,Afternoon
V046,SUV,114,652,163,1,V2V,Slice2,URLLC,233,160,Reinforcement Learning,65,43,0.8503803460504628,0.8364941037589535,2,-76,96,Fog,45,18,7.442678768807912,2.3040248252705835,0.7054251816208038,2025-01-25 21:45:44,Morning
V047,Truck,37,196,64,0,V2I,Slice1,URLLC,183,48,Genetic Algorithm,78,37,0.9126764664472633,0.8174574418411863,8,-71,34,Rain,110,35,6.896322645786601,1.816935186869919,0.7263190822398747,2025-01-25 11:45:41,Afternoon
V048,SUV,98,511,326,0,V2V,Slice3,URLLC,211,84,Genetic Algorithm,55,14,0.8352282551328811,0.7602433598213154,9,-80,18,Fog,99,20,6.511099405042566,0.543093204552263,0.7204367929067771,2025-01-25 22:22:15,Afternoon
V049,Sedan,77,474,135,1,V2V,Slice3,mMTC,277,55,Genetic Algorithm,28,27,0.8626082706771145,0.9239778540653465,4,-88,91,Rain,79,10,9.351811179609461,3.6389270775814953,0.749421495503378,2025-01-25 03:19:17,Night
V050,Sedan,98,914,796,1,V2V,Slice1,eMBB,92,68,Simulated Annealing,94,18,0.7243671078948809,0.7676021141452793,5,-64,56,Snow,95,32,8.082048424890742,0.7982189325385014,0.9711474428112231,2025-01-25 03:27:57,Evening
V051,Sedan,83,489,149,1,V2V,Slice1,eMBB,246,173,Reinforcement Learning,86,15,0.703618743721049,0.6176039730833787,3,-90,0,Snow,129,11,7.420345104914064,4.285331379603418,0.7452282683287142,2025-01-25 01:13:43,Morning
V052,Motorcycle,27,297,635,0,V2X,Slice2,eMBB,282,157,Genetic Algorithm,60,16,0.9306515364200925,0.8414113116977688,4,-82,48,Clear,107,37,6.243318139696344,1.6226113385793712,0.7579661883434856,2025-01-25 09:59:23,Night
V053,Motorcycle,50,14,523,0,V2V,Slice3,URLLC,198,245,Reinforcement Learning,74,10,0.9325145662274602,0.5423153946722448,6,-62,57,Snow,43,31,7.009348611677402,1.278449188194004,0.8838232835518456,2025-01-25 04:16:38,Afternoon
V054,Motorcycle,33,82,986,1,V2X,Slice2,eMBB,163,122,Genetic Algorithm,15,39,0.8526082204845515,0.7692377014747072,3,-68,39,Snow,136,35,8.89901953952884,3.552151507900482,0.8616652926600263,2025-01-25 13:08:46,Morning
V055,Motorcycle,40,348,860,0,V2X,Slice1,mMTC,136,69,Genetic Algorithm,53,31,0.9445843905652427,0.42257213672618593,3,-83,91,Fog,76,31,9.578702887411335,3.862366694393089,0.950914085311767,2025-01-25 17:59:52,Evening
